00000000  7F45              jg 0x47
0000105A  0B84D274          or ax,[si+0x74d2]
0000105E  06                push es
0000105F  01D0              add ax,dx
00001061  FFC1              inc cx
00001063  EBF1              jmp short 0x1056
00001065  C3                ret
00001066  48                dec ax
00001067  B8684F            mov ax,0x4f68
0000106A  4B                dec bx
0000106B  0A00              or al,[bx+si]
0000106D  54                push sp
0000106E  5E                pop si
0000106F  680101            push word 0x101
00001072  033C              add di,[si]
00001074  48                dec ax
00001075  0FB604            movzx ax,[si]
00001078  2448              and al,0x48
0000107A  0FB67C24          movzx di,[si+0x24]
0000107E  01480F            add [bx+si+0xf],cx
00001081  B654              mov dh,0x54
00001083  2402              and al,0x2
00001085  30DB              xor bl,bl
00001087  FEC3              inc bl
00001089  FFD3              call bx
0000108B  48                dec ax
0000108C  0FB64424          movzx ax,[si+0x24]
00001090  0331              add si,[bx+di]
00001092  FF                db 0xff
00001093  FFE3              jmp bx
00001095  49                dec cx
00001096  BE31C9            mov si,0xc931
00001099  41                inc cx
0000109A  0FB604            movzx ax,[si]
0000109D  0B84C074          or ax,[si+0x74c0]
000010A1  2388C4C0          and cx,[bx+si-0x3f3c]
000010A5  E80480            call 0x90ac
000010A8  E40F              in al,0xf
000010AA  660D30303C39      or eax,0x393c3030
000010B0  7E02              jng 0x10b4
000010B2  0407              add al,0x7
000010B4  80FC39            cmp ah,0x39
000010B7  7E03              jng 0x10bc
000010B9  80C407            add ah,0x7
000010BC  6641              inc ecx
000010BE  8904              mov [si],ax
000010C0  4C                dec sp
000010C1  FFC1              inc cx
000010C3  EBD4              jmp short 0x1099
000010C5  41                inc cx
000010C6  C6044C            mov byte [si],0x4c
000010C9  0090B34E          add [bx+si+0x4eb3],dl
000010CD  FFD3              call bx
000010CF  50                push ax
000010D0  41                inc cx
000010D1  5B                pop bx
000010D2  4D                dec bp
000010D3  87E3              xchg bx,sp
000010D5  80F925            cmp cl,0x25
000010D8  750E              jnz 0x10e8
000010DA  FFD3              call bx
000010DC  49                dec cx
000010DD  D1E4              shl sp,1
000010DF  49                dec cx
000010E0  39C4              cmp sp,ax
000010E2  7504              jnz 0x10e8
000010E4  B368              mov bl,0x68
000010E6  FFD3              call bx
000010E8  0000              add [bx+si],al
000010EA  2E7368            cs jnc 0x1155
000010ED  7374              jnc 0x1163
000010EF  7274              jc 0x1165
000010F1  61                popa
000010F2  6200              bound ax,[bx+si]
000010F4  2E7465            cs jz 0x115c
000010F7  7874              js 0x116d
00001160  E90000            jmp 0x1163
00001163  0000              add [bx+si],al
00001165  0000              add [bx+si],al
00001167  0000              add [bx+si],al
00001169  0000              add [bx+si],al
0000116B  0000              add [bx+si],al
0000116D  0000              add [bx+si],al
0000116F  0010              add [bx+si],dl
00001171  0000              add [bx+si],al
00001173  0000              add [bx+si],al
00001175  0000              add [bx+si],al
00001177  0000              add [bx+si],al
00001179  0000              add [bx+si],al
0000117B  0000              add [bx+si],al
0000117D  0000              add [bx+si],al
0000117F  0001              add [bx+di],al
00001181  0000              add [bx+si],al
00001183  0003              add [bp+di],al
00001185  0000              add [bx+si],al
00001187  0000              add [bx+si],al
00001189  0000              add [bx+si],al
0000118B  0000              add [bx+si],al
0000118D  0000              add [bx+si],al
0000118F  0000              add [bx+si],al
00001191  0000              add [bx+si],al
00001193  0000              add [bx+si],al
00001195  0000              add [bx+si],al
00001197  00E9              add cl,ch
00001199  1000              adc [bx+si],al
0000119B  0000              add [bx+si],al
0000119D  0000              add [bx+si],al
0000119F  0011              add [bx+di],dl
000011A1  0000              add [bx+si],al
000011A3  0000              add [bx+si],al
000011A5  0000              add [bx+si],al
000011A7  0000              add [bx+si],al
000011A9  0000              add [bx+si],al
000011AB  0000              add [bx+si],al
000011AD  0000              add [bx+si],al
000011AF  0001              add [bx+di],al
000011B1  0000              add [bx+si],al
000011B3  0000              add [bx+si],al
000011B5  0000              add [bx+si],al
000011B7  0000              add [bx+si],al
000011B9  0000              add [bx+si],al
000011BB  0000              add [bx+si],al
000011BD  0000              add [bx+si],al
000011BF  00                db 0x00
